,ID,Label,snr,amplitude,peak_frequency,central_freq,duration,bandwidth,chisq,chisq_dof,GPStime,channel,Air_Compressor,Blip,Chirp,Extremely_Loud,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,None_of_the_Above,No_Glitch,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
9293,oeanrpWEGb,No_Glitch,98.16279,1.38782e-21,48.24907,3939.83224,18.0,7871.66448,0.0,0.0,1132185242.9,H1:GDS-CALIB_STRAIN,2.29543260843e-07,4.16020888849e-08,2.88575876084e-07,5.12705628353e-06,2.1644368644e-06,4.83881478885e-07,2.24332097787e-06,1.72876680153e-05,0.000228684031754,0.000134610629175,0.998332381248,2.12800587178e-05,9.0841376732e-07,3.5045209188e-06,1.67602172496e-06,8.11709196569e-06,3.56543705493e-06,0.000286617170786,0.000906799163204,4.40193180111e-05
9294,tpUOpN9xLK,No_Glitch,17.39464,6.38257e-21,35.11028,3520.17264,4.03711,7021.47952,0.0,0.0,1134675692.38,H1:GDS-CALIB_STRAIN,3.48836152853e-07,2.23576748226e-08,2.88226686962e-07,8.95850371307e-06,2.89636545858e-06,6.02148816142e-07,2.91967762678e-06,3.09461393044e-05,0.000712751876563,0.000198891793843,0.998277544975,2.99002367683e-05,1.54187580392e-06,2.44685884354e-06,5.66804010305e-06,1.77282163349e-05,3.91740695704e-06,0.000248166790698,0.000395531504182,5.89310111536e-05
9295,Tut8mtSO0m,No_Glitch,7.71815,6.90811e-23,53.22445,2395.3759,1.375,4691.47427,0.0,0.0,1132276858.06,H1:GDS-CALIB_STRAIN,3.14390017593e-05,5.31988007424e-07,1.18180714992e-07,2.66109054792e-07,1.19493597595e-06,7.73584432068e-08,3.56909225729e-07,1.30068119688e-05,0.00130916107446,7.40995164961e-05,0.998192369938,3.42626822203e-06,9.75384864432e-06,2.31331771516e-08,5.4338688642e-06,3.04559625874e-06,1.68286862845e-06,5.36969455425e-05,4.35009360444e-06,0.000295973266475
9296,ZowNE2nJGF,No_Glitch,7.89562,1.48446e-22,45.30134,2333.82961,0.79688,4652.43523,0.0,0.0,1135446236.52,H1:GDS-CALIB_STRAIN,4.6525829589e-07,5.15656672917e-08,3.52721258423e-07,8.0754452938e-06,3.64374341189e-06,7.26894029413e-07,2.55382065006e-06,2.125856372e-05,0.000285811780486,0.000214292711462,0.998184978962,3.25915316353e-05,1.43661316088e-06,5.0935618674e-06,3.5137948089e-06,1.20524064187e-05,4.3100262701e-06,0.00048357740161,0.000654021336231,8.11647041701e-05
9297,aOOKUUFYbm,No_Glitch,9.06458,7.40853e-23,53.34557,52.21441,0.3125,5.15128,0.0,0.0,1132637888.34,H1:GDS-CALIB_STRAIN,5.34372077254e-07,2.52031124859e-08,2.60626677573e-07,6.64337267153e-06,2.41582347371e-06,5.65010907394e-07,2.73758314506e-06,4.02218538511e-05,0.000915443524718,0.000166039346368,0.998173892498,3.38074314641e-05,2.30767818721e-06,1.73955970695e-06,6.45250156595e-06,9.29950056161e-06,3.79328048439e-06,0.000361359998351,0.000217385066207,5.50815639144e-05
9298,aCFPgkO5dp,No_Glitch,43.23138,2.96175e-21,22.51327,3690.35852,8.25,7361.85128,0.0,0.0,1136534429.88,H1:GDS-CALIB_STRAIN,3.24907887261e-07,1.54268036567e-07,2.56673615695e-08,4.35679829991e-08,1.23154705989e-07,1.91723366072e-08,4.66230218876e-08,1.9608828552e-06,0.00152674783021,5.31065688847e-06,0.99794870615,1.35567233883e-07,2.35868865275e-05,1.05797930416e-08,5.3804643585e-07,2.79845016848e-06,9.38182154187e-08,4.37773178419e-06,2.13185194298e-06,0.000482855626615
9299,vgSOHS5Iku,No_Glitch,8.0805,6.79844e-20,11.31869,11.10719,0.75,6.9904,0.0,0.0,1136452704.22,H1:GDS-CALIB_STRAIN,3.84412669518e-06,1.76119010575e-06,2.35762399825e-07,5.62277023164e-07,8.55501002661e-06,2.42783471549e-07,1.88847582194e-06,4.86591670779e-05,0.00123911304399,6.61713493173e-05,0.997925460339,2.22620633394e-06,1.75192633378e-06,1.64312965012e-07,7.69349062466e-05,1.05621279545e-06,4.3027666834e-06,0.000126149592688,1.51892791109e-05,0.000475707987789
9300,LgwU9Pl5yN,No_Glitch,7.78298,6.90981e-23,77.68961,1283.99387,0.75,2414.79665,0.0,0.0,1135426505.72,H1:GDS-CALIB_STRAIN,2.34913795794e-06,1.06451136617e-06,1.86945115388e-07,5.24507584032e-07,1.21267419217e-06,1.66294313431e-07,6.89781018082e-07,1.44631067087e-05,0.000978604657575,4.1154667997e-05,0.997886955738,4.62923344458e-06,3.34520009346e-05,4.14970315887e-07,1.34825563691e-06,1.64082084666e-05,1.3927344753e-06,0.000253725214861,1.33617040774e-05,0.000747907848563
9301,NyyE96Rxkt,No_Glitch,8.83592,3.42171e-21,37.5127,48.704,0.875,28.17631,0.0,0.0,1132275695.19,H1:GDS-CALIB_STRAIN,4.3165280772e-07,8.92494256277e-09,1.9639040616e-08,1.43528708918e-07,7.40074483474e-07,9.25828302911e-09,6.72105215926e-08,1.23332051771e-06,0.00148017739411,5.30260476808e-05,0.997862458229,9.34027184485e-07,8.63201478296e-07,2.90188086893e-08,2.02477508537e-06,7.25408335711e-06,1.18707809804e-07,0.000147338840179,1.51846697918e-05,0.000427957071224
9302,Wnth09Zv51,No_Glitch,16.65367,2.30125e-22,46.96412,87.4659,1.375,94.72141,0.0,0.0,1129882351.22,H1:GDS-CALIB_STRAIN,3.486370872e-07,3.39719612441e-08,4.03120338888e-07,8.94979712029e-06,3.51232620233e-06,7.63495279443e-07,3.06241577164e-06,2.9615152016e-05,0.000581442145631,0.000202320894459,0.997855365276,3.48257599398e-05,1.50067182858e-06,4.53788607047e-06,3.99930013373e-06,1.42497283377e-05,4.09112772104e-06,0.000465299875941,0.000684375525452,0.000101331104815
9303,wuPOZxYBx8,No_Glitch,7.80624,1.21593e-21,41.25313,43.11843,0.25,12.42538,0.0,0.0,1127256622.92,H1:GDS-CALIB_STRAIN,2.78842463786e-07,2.7950074255e-08,2.28928143997e-07,5.30736224391e-06,1.9234737465e-06,3.93641414576e-07,1.87547573205e-06,1.43568813655e-05,0.000312918884447,0.000113332462206,0.997749149799,1.86222732736e-05,7.64312289903e-07,3.34455785378e-06,2.0479021714e-06,5.53618474441e-06,2.10125267586e-06,0.000604908331297,0.00103857833892,0.000124285608763
9304,Dpu5nE0fuU,No_Glitch,7.63299,6.82597e-23,48.34383,1695.43822,0.625,3301.08068,0.0,0.0,1128424731.28,H1:GDS-CALIB_STRAIN,9.23766419874e-05,9.45450483414e-06,1.13650446565e-06,6.92141554737e-07,4.59369130112e-06,5.61670219668e-07,3.02755722714e-07,3.57508747584e-06,0.000220878035179,7.2325761721e-05,0.997700631618,2.92059621643e-06,0.00137810094748,4.05136574955e-07,1.08146559796e-05,1.57671074703e-05,2.66242545877e-06,2.88907813228e-05,9.85613951343e-06,0.000444025470642
9305,I6nPYkmEio,No_Glitch,8.0277,1.03053e-22,504.54588,502.41884,0.20313,42.97015,0.0,0.0,1128640116.18,H1:GDS-CALIB_STRAIN,3.06235597236e-06,3.16527632549e-07,3.11792717866e-07,8.98360895007e-07,8.87302121555e-07,1.28489205053e-07,2.60438554278e-07,2.23956590162e-06,0.000680074619595,5.07710465172e-05,0.997694015503,3.07233676722e-06,0.000122609897517,7.81971266406e-07,1.90444711734e-06,7.50673789298e-05,8.14645829905e-07,0.000686289567966,7.41476906114e-05,0.000602317100856
9306,29rokWktDk,No_Glitch,10.10004,4.93611e-22,29.61563,2246.71027,2.25,4440.40192,0.0,0.0,1130330480.88,H1:GDS-CALIB_STRAIN,2.52636198184e-07,2.25324061631e-08,2.7807638503e-07,7.35700041332e-06,2.13347993849e-06,5.36466018275e-07,2.89345825877e-06,3.56938689947e-05,0.000718689814676,0.000174705099198,0.997690320015,2.32408456213e-05,9.28665258471e-07,2.38686766352e-06,3.14577755489e-06,1.32225359266e-05,3.03829574477e-06,0.000225906303967,0.00100224337075,9.3002578069e-05
9307,K6prKb7Oab,No_Glitch,16.00547,3.04082e-20,15.58443,3578.64648,3.625,7138.42721,0.0,0.0,1134528841.69,H1:GDS-CALIB_STRAIN,6.00364387537e-07,5.04563040238e-08,3.92862119725e-07,1.08301701403e-05,3.63847289009e-06,8.0821763504e-07,4.46911144536e-06,4.69045189675e-05,0.000771385442931,0.000252928992268,0.997542798519,4.47441889264e-05,1.88979970517e-06,3.67397205991e-06,6.82688141751e-06,1.22175033539e-05,5.84760573474e-06,0.000572536606342,0.000648842949886,6.86181228957e-05
9308,zr1QJK8jsu,No_Glitch,9.99161,1.23951e-22,504.54588,1494.816,8.67578,2236.33415,0.0,0.0,1129136039.07,H1:GDS-CALIB_STRAIN,1.65718870448e-06,3.51514557906e-07,2.00284674179e-07,1.08418976197e-06,2.66962206297e-06,1.37015945256e-07,2.02918727155e-06,8.08670210972e-06,0.00102544296533,4.88256409881e-05,0.997497498989,3.38505901709e-06,4.88404248244e-06,3.67401042922e-07,4.91820037496e-06,3.84975146517e-06,1.03948991637e-06,0.00088941125432,6.85639897711e-05,0.000435572030256
9309,wjD2TD6uJZ,No_Glitch,7.91047,6.81377e-23,49.81581,1198.53445,0.625,2301.06971,0.0,0.0,1130201113.06,H1:GDS-CALIB_STRAIN,4.82282412122e-05,5.73003092086e-07,8.46113891839e-07,1.05027186237e-06,5.19260756846e-05,4.07572827044e-07,6.17897740085e-07,1.18810276035e-05,0.000802969676442,8.01083078841e-05,0.997455775738,6.4843529799e-06,3.98740521632e-05,6.6380204089e-07,2.20986348722e-05,4.29577594332e-05,3.80170922654e-06,0.000409482105169,5.43306077816e-06,0.00101479177829
9310,D6J1tIJXEt,No_Glitch,7.56859,5.23153e-23,94.75347,95.15001,0.75,3.46182,0.0,0.0,1134472763.41,H1:GDS-CALIB_STRAIN,2.06485947274e-06,1.10135476916e-06,1.14481125024e-07,6.34356140949e-08,2.11963268271e-07,1.9124362538e-08,4.41418350761e-08,1.83142972787e-07,0.00179108243901,9.78337175184e-06,0.997451126575,1.48025719682e-07,0.000241694244323,6.56644383312e-09,1.59488536156e-05,8.18265448288e-07,1.70388105403e-07,2.75439579127e-05,2.03279228117e-06,0.000455856788903
9311,5EHyPYkrum,No_Glitch,8.05877,1.23649e-21,21.12766,35.66171,1.25,32.63878,0.0,0.0,1134929635.31,H1:GDS-CALIB_STRAIN,7.96697634087e-07,5.65997240187e-08,4.64859454041e-07,1.27510656966e-05,5.90602485318e-06,9.64567107076e-07,4.6790014494e-06,5.03496958117e-05,0.000775564927608,0.00028547088732,0.997386395931,5.58887295483e-05,2.23598817684e-06,5.52090341444e-06,8.96559322427e-06,1.67099824466e-05,6.74928651279e-06,0.000787174154539,0.000503787130583,8.959564002e-05
9312,4PCBf9M7vG,No_Glitch,8.39994,1.3358e-21,41.25313,1786.63364,0.39062,3499.45579,0.0,0.0,1129882311.42,H1:GDS-CALIB_STRAIN,1.18880598166e-06,1.92269823174e-07,1.20264136427e-08,1.26009609858e-07,1.65307938005e-07,1.22888552667e-08,2.25312021485e-07,6.28770430922e-06,0.00221799244173,6.47447222946e-06,0.997354030609,3.44517530948e-07,1.77819924829e-06,1.2318047915e-08,1.33143134917e-06,1.07997755094e-06,1.91035923081e-07,6.06554203841e-05,7.61736464483e-06,0.000340278376825
9313,3qF9szKEdt,No_Glitch,7.67245,2.372e-19,13.01258,18.49947,0.25,18.13318,0.0,0.0,1132637887.32,H1:GDS-CALIB_STRAIN,1.10514599783e-06,5.92953774969e-08,5.39690006462e-07,1.21805423987e-05,6.61555259285e-06,1.12212990189e-06,6.77434809404e-06,6.56935226289e-05,0.00100764131639,0.000161799354828,0.997349619865,7.01348326402e-05,3.22738083014e-06,3.57440899279e-06,1.54626013682e-05,8.17751970317e-06,7.92811624706e-06,0.00103347084951,0.000195432876353,4.94670166518e-05
9314,ipu21dxgm1,No_Glitch,11.37523,1.01886e-21,38.7132,3204.49849,4.34375,6364.50737,0.0,0.0,1132372686.53,H1:GDS-CALIB_STRAIN,5.3727364957e-07,1.090301609e-07,9.23306586742e-08,3.39940129379e-07,2.75592441312e-07,6.50160316695e-08,3.65868515928e-07,4.78669753647e-05,0.00201192498207,7.44233766454e-05,0.997245490551,4.76846980746e-06,1.51072345034e-06,3.83026907969e-08,5.78369622417e-07,1.42192857311e-06,1.41541534049e-06,4.11355867982e-05,0.000141818949487,0.000425836187787
9315,WosJrrsDo0,No_Glitch,8.12057,4.27835e-22,2025.31024,2461.03696,0.01758,1197.37906,0.0,0.0,1129752945.77,H1:GDS-CALIB_STRAIN,4.32419346907e-06,1.80626432211e-06,5.75929846036e-07,4.03409273986e-07,7.24015251308e-07,9.65814024312e-08,6.60010357478e-07,5.49852074982e-06,0.00204640673473,2.85946571239e-05,0.997034728527,9.06208356355e-07,0.000441812677309,2.10871306194e-07,1.28790304643e-06,1.89193197002e-05,8.14133102267e-07,6.68625216349e-05,1.54376975843e-05,0.000329921487719
9316,oDrC746oG5,No_Glitch,8.68352,1.67748e-22,33.66324,1128.57602,0.8125,2193.15205,0.0,0.0,1126604099.56,H1:GDS-CALIB_STRAIN,7.56755355269e-07,3.14630170806e-08,2.95018139695e-07,3.82248344977e-06,2.07270227293e-06,3.55049621703e-07,2.82593236989e-06,3.00487627101e-05,0.000788230914623,3.10544855893e-05,0.996974885464,2.78922816506e-05,1.49943070937e-06,1.31110107304e-06,4.38790630142e-06,1.81159498425e-06,2.27336772696e-06,0.00172463234048,0.000317000201903,8.48299750942e-05
9317,Z3FFvse6fb,No_Glitch,8.72642,1.19545e-21,22.68786,3269.7462,1.75,6497.918,0.0,0.0,1134010556.31,H1:GDS-CALIB_STRAIN,6.88839122631e-07,4.10664355854e-08,5.07747131451e-07,1.47260070662e-05,4.86158478452e-06,1.03545539787e-06,4.34731146015e-06,5.69164767512e-05,0.00128484296147,0.000309148803353,0.99693107605,5.42908637726e-05,2.48106857725e-06,4.23040955866e-06,1.01518835436e-05,2.83270346699e-05,5.85545058129e-06,0.000503090093844,0.000647281063721,0.000136090544402
9318,hwdUBlUJSW,No_Glitch,8.64366,3.96984e-21,17.94269,3747.14768,7.0,7458.91534,0.0,0.0,1131056341.75,H1:GDS-CALIB_STRAIN,3.85001476388e-06,1.15855345939e-06,2.84136234541e-07,6.50551214676e-07,5.02521334056e-06,1.78609397494e-07,1.33157936943e-06,4.64912955067e-05,0.00176653359085,5.25008290424e-05,0.996897220612,8.16317697172e-06,3.15516399496e-06,2.58959545363e-07,6.57772625345e-06,3.62931064046e-06,3.98755764763e-06,0.000546170456801,1.54745994223e-05,0.000637354620267
9319,E0PcGt6Qm0,No_Glitch,10.23443,3.03363e-21,38.51919,1787.21281,2.21387,3510.42561,0.0,0.0,1126629173.28,H1:GDS-CALIB_STRAIN,4.84971508286e-07,5.78176653221e-08,4.37473460124e-07,5.74750629312e-06,2.97309520647e-06,6.99740269283e-07,2.04382263291e-06,2.40671579377e-05,0.000206445256481,0.000135777372634,0.996766865253,2.90433290502e-05,9.42733834108e-07,6.0343622863e-06,1.72160468992e-06,5.88575721849e-06,3.01119780488e-06,0.000679259886965,0.00184883386828,0.000279690662865
9320,X7U4mW1mqV,No_Glitch,7.89678,1.8009e-22,1527.02211,1517.17128,0.02734,84.61113,0.0,0.0,1135485542.18,H1:GDS-CALIB_STRAIN,1.90394166566e-06,1.15686070501e-07,1.27107313119e-07,4.71402870517e-07,1.03740148916e-06,8.20481034225e-08,4.11530123756e-07,1.48240878843e-05,0.00165581004694,0.000100421326351,0.99676066637,2.74174112747e-06,1.64104749274e-05,1.00487945076e-07,1.37655831622e-06,2.99154253298e-05,5.24896336174e-07,9.79480246315e-05,3.1755760574e-05,0.00128333643079
9321,RSL436lfAA,No_Glitch,7.95438,1.89221e-22,29.61563,29.24347,1.25,2.39095,0.0,0.0,1136006932.88,H1:GDS-CALIB_STRAIN,8.78062792253e-07,1.70074611106e-06,3.28291804408e-07,4.15877707383e-07,3.4434049212e-06,1.10217428073e-07,8.43779901061e-07,3.97667690777e-06,0.00166044326033,1.96658165805e-05,0.996740281582,1.89395132111e-06,5.81823223911e-05,2.99914802326e-07,3.48479898094e-06,5.73871839151e-05,9.1271169822e-07,0.000159087940119,1.20911026897e-05,0.00127459783107
9322,UnrT5yqsqY,No_Glitch,38.2519,5.45495e-22,50.7668,3876.35247,6.375,7742.79124,0.0,0.0,1136466220.06,H1:GDS-CALIB_STRAIN,1.03683441921e-06,7.46327160073e-08,8.04261958365e-07,1.77099536813e-05,1.14719796329e-05,1.73852515672e-06,5.1212591643e-06,5.13164595759e-05,0.000611237017438,0.000433867040556,0.996650218964,7.2932059993e-05,2.35870720644e-06,1.23418876683e-05,9.97909864964e-06,3.55159208993e-05,7.04298145138e-06,0.00103038654197,0.000789827376138,0.000254991842667
9323,zE7bmsbGpj,No_Glitch,7.86,1.54222e-19,10.54791,11.04879,1.0,6.87361,0.0,0.0,1132501626.88,H1:GDS-CALIB_STRAIN,1.88061380868e-06,1.22187168472e-06,5.39107645636e-07,7.72695727846e-07,6.83170537741e-06,3.23404890423e-07,1.60422496265e-06,1.99401383725e-05,0.00245047663338,7.10394160706e-05,0.996577382088,8.21372213977e-06,4.92412691528e-05,5.27640736436e-07,4.65937364424e-06,3.49583715433e-05,2.94938354273e-06,0.000120719094411,1.69605555129e-05,0.000629767891951
9324,opKX2ao8lT,No_Glitch,7.8541,2.4654e-21,38.51919,50.03632,1.125,33.23175,0.0,0.0,1129008293.59,H1:GDS-CALIB_STRAIN,1.02027104276e-06,8.03781745162e-07,3.19643959301e-07,3.80334853389e-07,3.72047026076e-07,1.09958222083e-07,3.84547348631e-07,9.7471584013e-06,0.00203565019183,4.85331074742e-05,0.996534049511,1.00298677808e-06,9.84313592198e-05,1.3265290022e-07,5.39307848157e-07,2.53986145253e-05,7.27028691472e-07,3.95336755901e-05,3.50419650204e-05,0.00116783613339
9325,pWlGr2Hoxa,No_Glitch,24.17242,2.18011e-21,23.31807,1914.95275,3.98828,3821.90551,0.0,0.0,1136024574.47,H1:GDS-CALIB_STRAIN,2.92347777986e-07,3.07684189238e-08,2.25317151603e-07,3.71495298168e-06,1.13722376227e-06,2.9887073083e-07,1.83073007065e-06,2.8830325391e-05,0.000445077748736,8.07086471468e-05,0.996457338333,1.47011369336e-05,5.21729702996e-07,1.73609782905e-06,1.18859043141e-06,2.96802522826e-06,1.90302830561e-06,0.000401116034482,0.00241065188311,0.000145711819641
9326,Zrd4PHn2Qz,No_Glitch,8.35232,6.27028e-23,90.37819,3846.71072,0.60547,7528.5173,0.0,0.0,1134472761.78,H1:GDS-CALIB_STRAIN,4.08332516599e-06,1.68847770965e-06,6.50464130558e-07,4.26966977329e-07,6.91799959895e-06,6.11068742273e-08,2.06634766187e-07,9.12523432817e-07,0.00140477216337,0.000113632551802,0.996338903904,1.68145231783e-06,0.000345288630342,7.17598197753e-07,4.00327371608e-06,0.00153861672152,9.07939181616e-07,4.95556851092e-05,7.98780456535e-06,0.000179002643563
